sensor_type,timestamp_ns,sensor_time_ns,val_x,val_y,val_z
ACCEL,110031790156868,110031787698483,0.08798691,-0.09696517,9.7162695
GYRO,110031790303795,110031787698483,-6.6578976E-4,0.0010652636,-0.0010652636
ACCEL,110031794607336,110031790205410,0.073621705,-0.11851298,9.709086
GYRO,110031794746763,110031790205410,3.9947388E-4,0.0021305273,-0.0010652636
GYRO,110031794775513,110031792712337,0.0014647375,-0.0,-0.0010652636
ACCEL,110031794800045,110031792712337,0.0712275,-0.11851298,9.694721
GYRO,110031799037701,110031795219264,3.9947388E-4,-0.0010652636,-0.0
ACCEL,110031800170826,110031795219264,0.08080431,-0.11851298,9.706693
ACCEL,110031800292857,110031797726191,0.076015905,-0.108936176,9.701904
GYRO,110031800328274,110031797726191,0.0014647375,-0.0010652636,-0.0010652636
ACCEL,110031802723274,110031800233118,0.076015905,-0.10175357,9.677961
GYRO,110031802863534,110031800233118,3.9947388E-4,-0.0010652636,-0.0010652636
ACCEL,110031805110565,110031802740045,0.078410104,-0.11372458,9.68275
GYRO,110031805237440,110031802740045,3.9947388E-4,-0.0,-0.0010652636
ACCEL,110031807814940,110031805247024,0.08798691,-0.11372458,9.675568
GYRO,110031807948899,110031805247024,3.9947388E-4,0.0010652636,0.0010652636
ACCEL,110031810143847,110031807754003,0.0712275,-0.12808979,9.694721
GYRO,110031810390045,110031807754003,3.9947388E-4,0.0010652636,-0.0
ACCEL,110031812542909,110031810260983,0.076015905,-0.12330139,9.701904
GYRO,110031812909315,110031810260983,3.9947388E-4,0.0010652636,-0.0
GYRO,110031816246190,110031812767962,-6.6578976E-4,0.0021305273,-0.0
ACCEL,110031816769159,110031812767962,0.078410104,-0.12330139,9.6923275
ACCEL,110031818011763,110031815274941,0.08319851,-0.130484,9.697116
GYRO,110031819020357,110031815274941,3.9947388E-4,0.003195791,-0.0
GYRO,110031819846972,110031817781920,3.9947388E-4,0.003195791,-0.0010652636
ACCEL,110031819955618,110031817781920,0.0688333,-0.130484,9.6923275
ACCEL,110031827887440,110031820288899,0.06404489,-0.130484,9.69951
GYRO,110031827980409,110031820288899,3.9947388E-4,0.003195791,-0.0010652636
ACCEL,110031828001034,110031822795878,0.0664391,-0.1328782,9.6923275
GYRO,110031828009680,110031822795878,3.9947388E-4,0.0021305273,-0.0
ACCEL,110031828016503,110031825302858,0.08559271,-0.12808979,9.701904
GYRO,110031828022909,110031825302858,-6.6578976E-4,0.0042610546,0.0010652636
ACCEL,110031834704368,110031827809837,0.078410104,-0.12330139,9.704298
GYRO,110031834802128,110031827809837,3.9947388E-4,0.0021305273,0.0010652636
ACCEL,110031834820253,110031830316816,0.08080431,-0.12330139,9.7162695
GYRO,110031834829472,110031830316816,-6.6578976E-4,-0.0,-0.0
ACCEL,110031836989940,110031832823795,0.090381116,-0.108936176,9.704298
GYRO,110031838893430,110031832823795,-6.6578976E-4,-0.0,-0.0010652636
ACCEL,110031839017909,110031835330774,0.090381116,-0.11611878,9.6923275
GYRO,110031839034368,110031835330774,-6.6578976E-4,-0.0021305273,-0.0
ACCEL,110031850137024,110031837837753,0.08080431,-0.1352724,9.701904
GYRO,110031850235305,110031837837753,3.9947388E-4,-0.0021305273,-0.0
ACCEL,110031850255670,110031840344733,0.0688333,-0.09935937,9.697116
GYRO,110031850265045,110031840344733,-6.6578976E-4,-0.0010652636,-0.0010652636
