timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m
214.109,-1437.140490888697,184.64786576866416,9.81,283.7,3.7900925
215.113,-1446.9994433184863,186.71395551778497,9.81,284.1,3.7900925
216.117,-1456.5905191450374,188.5418215565585,9.83,284.5,3.7900925
217.122,-1466.2559443975063,190.42089456120024,9.83,284.0,3.7900925
218.115,-1475.5889839848485,192.49032389504393,9.77,283.8,3.7900925
219.109,-1485.0401079516669,194.54194211024776,9.66,283.3,3.7900925
220.12,-1494.3173854706135,196.10375456621966,9.52,282.1,3.7900925
221.113,-1503.2928917912293,198.1219769341951,9.39,281.6,3.7900925
222.121,-1512.1831149513623,199.67154424612423,9.26,281.4,3.7900925
223.123,-1521.0678712393449,201.33465743845292,9.16,281.4,3.7900925
224.112,-1530.1931697851135,202.8964698944248,9.13,281.9,3.7900925
225.109,-1538.6362030205955,204.85457973738912,9.08,283.3,3.7900925
226.122,-1547.4641038668658,206.76704858925928,9.0,282.9,3.7900925
227.093,-1556.1761070802945,209.05021134554175,8.97,282.4,3.7900925
228.108,-1565.1931616092245,211.12631984865408,9.03,281.3,3.7900925
229.111,-1574.0560504211235,212.43877664526156,9.1,280.2,3.7900925
230.123,-1583.018436256367,214.0484564820248,9.26,279.7,3.7900925
231.104,-1592.3995842947097,215.8696433513526,9.65,279.9,3.7900925
232.111,-1602.3383530211765,217.86003584669672,10.11,279.7,3.7900925
233.113,-1612.6171610287734,219.0021738224393,10.6,278.2,3.7900925
234.101,-1623.7947223803328,220.3791959234523,11.4,274.7,3.7900925
235.103,-1635.6895370078073,220.75211621756185,11.81,273.0,3.7900925
238.152,-1672.1043546556903,222.20928835210006,12.19,274.4,3.7900925
239.106,-1683.595714316245,223.02080743992735,11.67,276.1,3.7900925
240.106,-1694.9985106894105,224.04383356031923,11.5,279.5,3.7900925
241.099,-1706.5161113234913,225.27725351842713,11.49,281.6,3.7900925
242.109,-1717.8871998537622,226.7255200936454,11.58,282.6,3.7900925
243.103,-1729.9000988634946,228.85283556262598,11.79,283.4,3.7900925
244.101,-1741.237292804236,231.44546650328405,11.84,284.2,3.7900925
245.112,-1753.2950201422354,234.1950579257386,11.79,283.3,3.7900925
246.106,-1764.9963075896073,237.0426105003582,11.71,285.7,3.7900925
247.098,-1776.265712349899,240.13395275974517,11.51,286.9,3.7900925
248.118,-1787.672882219116,243.08169287587296,11.6,284.5,3.7900925
249.097,-1798.9138592564648,245.74556829038224,11.67,283.2,3.7900925
